Time,Watering intensity,Shutters,UV-Lamps,Heating
Sat Oct 10 17:00:00 CEST 2020,0,1,0,1
Sat Oct 10 18:00:00 CEST 2020,0,1,0,1
Sat Oct 10 19:00:00 CEST 2020,0,1,1,1
Sat Oct 10 20:00:00 CEST 2020,0,1,1,1
Sat Oct 10 21:00:00 CEST 2020,0,1,1,1
Sat Oct 10 22:00:00 CEST 2020,0,1,0,1
Sat Oct 10 23:00:00 CEST 2020,0,1,0,1
Sun Oct 11 00:00:00 CEST 2020,0,1,0,1
Sun Oct 11 01:00:00 CEST 2020,0,1,0,1
Sun Oct 11 02:00:00 CEST 2020,0,1,0,1
Sun Oct 11 03:00:00 CEST 2020,0,1,0,1
Sun Oct 11 04:00:00 CEST 2020,0,1,0,1
Sun Oct 11 05:00:00 CEST 2020,0,1,0,1
Sun Oct 11 06:00:00 CEST 2020,0,1,0,1
Sun Oct 11 07:00:00 CEST 2020,0,1,0,1
Sun Oct 11 08:00:00 CEST 2020,0,1,0,1
Sun Oct 11 09:00:00 CEST 2020,0,1,0,1
Sun Oct 11 10:00:00 CEST 2020,0,1,0,1
Sun Oct 11 11:00:00 CEST 2020,0,1,0,1
Sun Oct 11 12:00:00 CEST 2020,0,1,0,1
Sun Oct 11 13:00:00 CEST 2020,0,1,0,1
Sun Oct 11 14:00:00 CEST 2020,0,1,0,1
Sun Oct 11 15:00:00 CEST 2020,0,1,0,1
Sun Oct 11 16:00:00 CEST 2020,0,1,0,1
Sun Oct 11 17:00:00 CEST 2020,0,1,0,1
Sun Oct 11 18:00:00 CEST 2020,0,1,0,1
Sun Oct 11 19:00:00 CEST 2020,0,1,0,1
Sun Oct 11 20:00:00 CEST 2020,0,1,0,1
Sun Oct 11 21:00:00 CEST 2020,0,1,0,1
Sun Oct 11 22:00:00 CEST 2020,0,1,0,1
Sun Oct 11 23:00:00 CEST 2020,0,1,0,1
Mon Oct 12 00:00:00 CEST 2020,0,1,0,1
Mon Oct 12 01:00:00 CEST 2020,0,1,0,1
Mon Oct 12 02:00:00 CEST 2020,0,1,0,1
Mon Oct 12 03:00:00 CEST 2020,0,1,0,1
Mon Oct 12 04:00:00 CEST 2020,0,1,0,1
Mon Oct 12 05:00:00 CEST 2020,0,1,0,1
Mon Oct 12 06:00:00 CEST 2020,0,1,0,1
Mon Oct 12 07:00:00 CEST 2020,0,1,0,1
Mon Oct 12 08:00:00 CEST 2020,0,1,0,1
Mon Oct 12 09:00:00 CEST 2020,0,1,0,1
